Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Asia	26-30	< 13	Male	Employed (full time)	Yes	Rather not say	Somewhat important		Requirement	Requirement	Requirement	Very important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, C#, PHP, Rust, TypeScript, Assembly	JavaScript, C++, Python, C#	Haskell, Go, Elixir	I have lots of projects on the go. Switching between them keeps me motivated	Pharmaceuticals, Robotics, Web dev, Mobile dev, Cyber security, Game dev, Testing, Artificial Intelligence	Discord server discovery	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Chatterbox	No but I'd like to be	Laptop, Desktop, Mobile	Windows	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Somewhat disagree	Somewhat disagree	Not sure	Not sure	Somewhat	Somewhat	Yes	This information will be kept private.
Europe	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Somewhat important	Requirement	Very important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Don't care	Very important	This information will be kept private.	C++, C, C#, Assembly	C++	C, Assembly	I commit to a project until I reach a defined end goal before moving on to the next	Embedded Systems, Game dev, Other	Discord server discovery	0-1 years	Helping other programmers, Getting help with programming problems, Lurking	Active		Laptop	Linux	1	Never			I don't feel comfortable with my ability							No	This information will be kept private.
Asia	18-21	13 - 17	Male	Rather not say	Yes	Rather not say	Requirement	Requirement	Don't care	Don't care	Somewhat important	Very important	Requirement	Very important	Don't care	Requirement	This information will be kept private.	C++	C++	Rust, Other	I start a project but quickly lose motivation and usually don't complete a project	Cyber security, Other	Other	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Bepis-Drinker	Yes	Laptop	Windows	1	Never			I don't feel comfortable with my ability	Strongly Agree	Somewhat disagree	Somewhat disagree	Strongly Agree	Not sure	Somewhat	Yes	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Somewhat important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Python, C, C#	C++, C#		I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Helping other programmers, Getting help with programming problems	Active	No but I'd like to be	Laptop, Desktop	Windows	2	Never			I don't feel comfortable with my ability	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No	This information will be kept private.
Asia	18-21	18 - 21	Male	Student (full time)	Yes	Secondary/high school	Requirement	Don't care	Somewhat important	Don't care	Somewhat important	Very important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, HTML, CSS, TypeScript	JavaScript, HTML, CSS	Java	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Mobile dev, Game dev, Testing	Discord server listing website	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop	Linux	1	Several times per week	To give back to the community, To improve my knowledge	I'm happy with my current level of open source contribution		Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Requirement	Requirement	Don't care	Somewhat important	Very important	Requirement	Requirement	Somewhat important	Requirement	This information will be kept private.	JavaScript, C++, Python, C, HTML, PHP, Rust, TypeScript, Assembly	Python, C	Haskell, Lisp	I start a project but quickly lose motivation and usually don't complete a project	Embedded Systems, Cyber security	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky	No but I'd like to be	Laptop	Linux	1	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No, I didn't know they were enabled	This information will be kept private.
Europe	18-21	13 - 17	Male	Employed (internship)	Yes	Rather not say	Somewhat important	Very important	Somewhat important	Somewhat important	Don't care	Somewhat important	Very important	Somewhat important	Very important	Very important	This information will be kept private.	JavaScript, HTML, CSS, TypeScript, Other	JavaScript, HTML, CSS, TypeScript, Other	Other	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Data Science	Other	2-3 years	Helping other programmers, Getting help with programming problems	I don't have a role :(	Yes	Laptop, Desktop	Windows	3	Never			I don't feel comfortable with my ability, I don't have the time, I can't find any projects that interest me, Other	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Somewhat important	Very important	Very important	This information will be kept private.	JavaScript, Python, HTML, CSS, TypeScript	JavaScript, Python	Kotlin, Rust	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Cyber security, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Bepis-Drinker	Yes	Desktop	Linux	1	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
North America	18-21	< 13	Male	Student (full time)	Yes	College/University study without earning a degree	Requirement	Very important	Very important	Don't care	Requirement	Requirement	Requirement	Somewhat important	Don't care	Somewhat important	This information will be kept private.	Java, C#, Rust, Lua, Other	Java, Rust	Kotlin, TypeScript, Elixir	I commit to a project until I reach a defined end goal before moving on to the next	Pharmaceuticals, Embedded Systems, Game dev, Artificial Intelligence	Discord server listing website	3+ years	Chatting with other programmers, Helping other programmers	Chatterbox	Yes	Laptop, Desktop	Linux	1	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	Strongly Agree	No	This information will be kept private.
North America	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Requirement	Somewhat important	Somewhat important	Don't care	Somewhat important	Somewhat important	Somewhat important		Don't care	Very important	This information will be kept private.	HTML, C#, PHP	C#	HTML, PHP	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Game dev	Discord server discovery	0-1 years	Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop, Desktop	Windows	2	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School											This information will be kept private.	Java, Python, C#	Python	C++, C#	I have lots of projects on the go. Switching between them keeps me motivated	Mobile dev, Data Science, Artificial Intelligence	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Community-Member		Laptop, Mobile	Windows	1	Less than once per year	To improve my knowledge	I would like to contribute to more open source projects		Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	No, I didn't know they were enabled	This information will be kept private.
Africa	13-17	< 13	Female	Student (full time)	Yes	Secondary/high school	Requirement	Requirement	Very important	Don't care	Requirement	Requirement	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	C++, C	C++	C, Rust, Haskell	I start a project but quickly lose motivation and usually don't complete a project	Other	Through a friend/colleague	2-3 years	Chatting with other programmers, Lurking	Conke-Commander	Yes	Laptop, Desktop	Windows	2	Never			I don't feel comfortable with my ability	Strongly Agree	Somewhat	Somewhat	Strongly Agree	Not sure	Strongly Agree	No	This information will be kept private.
Europe	18-21	13 - 17	Male	Employed (full time)	Yes	Associate degree	Somewhat important	Very important	Don't care	Don't care	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	C++, Python, C, PHP, TypeScript, Go, Other	Python, C	Rust	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Mobile dev, Embedded Systems, Cyber security, Game dev, Testing	Discord server listing website	1-2 years	Helping other programmers, Getting help with programming problems	Active	Yes	Laptop, Desktop	Linux	3	Several times per week	To give back to the community, To improve my knowledge, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Not sure	Somewhat	Somewhat	Not sure	Somewhat	Strongly Agree	No	This information will be kept private.
North America	22-25	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Requirement	Very important	Very important	Somewhat important	Somewhat important	Very important	Requirement	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, TypeScript, Haskell	JavaScript, Java, Python	Rust, Go, Elixir	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev, Artificial Intelligence	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers	Super-Talky	No but I'd like to be	Laptop, Desktop	Mac	2	Never			I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No, I didn't know they were enabled	This information will be kept private.
Asia	18-21	18 - 21	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Requirement	Requirement	Requirement	Requirement	Requirement	Very important	Very important	Somewhat important	Very important	This information will be kept private.	Java, Python, C, HTML, CSS	Python, HTML, CSS	JavaScript	I need to have some collaborators in order to keep myself motivated	Web dev, Cyber security, Game dev	Discord server discovery	1-2 years	Chatting with other programmers, Getting help with programming problems, Lurking	Chatterbox	No but I'd like to be	Laptop, Desktop, Mobile	Linux	1	Less than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	41+	< 13	Male	Employed (full time)	Yes	Associate degree	Very important	Somewhat important	Requirement	Don't care	Requirement	Very important	Very important	Very important	Somewhat important	Requirement	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, TypeScript	JavaScript, HTML, CSS, C#, TypeScript		I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Embedded Systems	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers	Active	No but I'd like to be	Laptop	Windows	3	Less than once per month but more than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly disagree	No	This information will be kept private.
North America	13-17	22 - 25	Female	Student (part time)	Yes	PhD	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, Rust, TypeScript, Haskell, Lua, Assembly, Lisp, Go, Ruby, Elixir, Other	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, Rust, TypeScript, Haskell, Lua, Assembly, Lisp, Go, Ruby, Elixir, Other	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, Rust, TypeScript, Haskell, Lua, Assembly, Lisp, Go, Ruby, Elixir, Other	Other	Fintech, Pharmaceuticals, Robotics, Web dev, Mobile dev, Data Science, Embedded Systems, Cyber security, Game dev, Testing, Artificial Intelligence, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Bepis-Drinker	Yes	Laptop, Desktop, Mobile	Windows	4+	Never			I don't feel comfortable with my ability, I don't have the time, I can't find any projects that interest me, Other	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Yes	This information will be kept private.
North America	22-25	13 - 17	Female	Employed (internship)	Yes	College/University study without earning a degree	Requirement	Very important	Somewhat important	Don't care	Somewhat important	Requirement	Requirement	Requirement	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, Haskell, Assembly	C++, Python	C#, Assembly, Other	I have lots of projects on the go. Switching between them keeps me motivated	Data Science, Artificial Intelligence	Discord server listing website	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	I don't have a role :(	No but I'd like to be	Laptop, Desktop	Windows	3	Less than once per year	To improve my knowledge	I would like to contribute to more open source projects		Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Strongly disagree	No	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Requirement	Requirement	Somewhat important	Somewhat important	Somewhat important	Very important	Requirement	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	C++	C++	Python, Rust, Haskell, Lua, Assembly	I start a project but quickly lose motivation and usually don't complete a project	Game dev, Artificial Intelligence	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	No but I'd like to be	Laptop, Mobile	Linux	1	Never			I don't feel comfortable with my ability, I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	18-21	13 - 17	Male	Employed (full time)	No	Bachelor's degree	Requirement	Very important	Very important	Don't care	Don't care	Somewhat important	Somewhat important	Somewhat important	Don't care	Requirement	This information will be kept private.	Java, Kotlin	Java, Kotlin	C#, Kotlin	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Embedded Systems	Through a friend/colleague	0-1 years	Helping other programmers, Getting help with programming problems, Lurking	Community-Member	No but I'd like to be	Desktop	Windows	2	Never			I don't feel comfortable with my ability, I don't have the time, I can't find any projects that interest me	Not sure	Not sure	Not sure	Strongly Agree	Not sure	Not sure	No	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Requirement	Very important	Don't care	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	Python, HTML, CSS	Python	JavaScript, PHP	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Data Science	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop	Linux	1	Never			I don't feel comfortable with my ability, I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	26-30	13 - 17	Male	Student (full time)	Yes	Bachelor's degree	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Python, HTML, CSS	JavaScript, Python	C#, TypeScript	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev, Data Science, Cyber security, Artificial Intelligence	Another discord server	1-2 years	Lurking	I don't have a role :(		Desktop	Windows	2	Several times per week	To give back to the community, To improve my knowledge	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree		Strongly Agree			No	This information will be kept private.
North America	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, TypeScript, Assembly	Python, TypeScript	Other	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Pharmaceuticals, Robotics, Web dev, Embedded Systems, Cyber security, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	No but I'd like to be	Laptop, Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important	Very important	Requirement	Don't care	Somewhat important	Very important	Very important	Very important	Don't care	Requirement	This information will be kept private.	JavaScript, HTML, CSS, Rust, TypeScript, Lua, Other	JavaScript, TypeScript	Haskell, Lisp, Elixir, Other	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Web dev, Mobile dev, Embedded Systems, Cyber security, Game dev, Testing, Other	Discord server listing website	2-3 years	Chatting with other programmers, Helping other programmers, Lurking	Bepis-Drinker	Yes	Desktop, Mobile	Linux	1	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Yes	This information will be kept private.
North America	18-21	< 13	Male	Student (full time)	Yes	College/University study without earning a degree	Very important	Somewhat important	Don't care	Don't care	Very important	Very important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, Rust, Haskell, Assembly, Other	C++	Rust, Haskell, Lisp	I have lots of projects on the go. Switching between them keeps me motivated	Embedded Systems, Other	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky	Yes	Laptop, Desktop	Windows	3	Less than once per year	To improve my knowledge	I would like to contribute to more open source projects		Somewhat disagree	Somewhat	Strongly disagree	Strongly disagree	Strongly Agree	Somewhat	Yes	This information will be kept private.
Europe	13-17	13 - 17	Female	Rather not say	Yes	Primary/elementary School	Requirement	Somewhat important	Very important	Don't care	Requirement	Requirement	Requirement	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS	JavaScript, Python	TypeScript	I have lots of projects on the go. Switching between them keeps me motivated	Data Science, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Getting help with programming problems	I don't have a role :(	No but I'd like to be	Desktop	Linux	3	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree					No	This information will be kept private.
Europe	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, TypeScript, Assembly, Go, Elixir, Other	JavaScript, C++, C#	Go, Elixir	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	Yes	Laptop, Desktop, Mobile	Windows	1	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Somewhat	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No, I didn't know they were enabled	This information will be kept private.
North America	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Very important	Don't care	Somewhat important	Somewhat important	Somewhat important	Very important	Don't care	Don't care	This information will be kept private.	C++	C++	C++	Other	Web dev, Mobile dev, Data Science, Embedded Systems, Cyber security, Artificial Intelligence	Discord server listing website	0-1 years	Chatting with other programmers, Getting help with programming problems, Lurking	I don't have a role :(	No but I'd like to be	Desktop	Windows	1	Several times per week	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects								No	This information will be kept private.
North America	18-21	18 - 21	Male	Rather not say	Yes	Never completed any formal education	Very important	Very important	Requirement	Don't care	Don't care	Somewhat important	Very important	Very important	Very important	Requirement	This information will be kept private.	JavaScript, HTML, CSS	JavaScript, HTML, CSS	JavaScript, C++, Python, C, CSS, C#, PHP	I commit to a project until I reach a defined end goal before moving on to the next	Web dev	Discord server listing website	0-1 years	Chatting with other programmers, Getting help with programming problems	Active	Yes	Desktop	Windows	1	Never			I can't find any projects that interest me	Strongly Agree	Strongly Agree	Not sure	Not sure	Not sure	Not sure	No	This information will be kept private.
Europe	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school											This information will be kept private.	JavaScript, Python, HTML, CSS	JavaScript, Python	Python	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Game dev	Discord server discovery	2-3 years	Helping other programmers, Getting help with programming problems, Lurking	Community-Member		Laptop, Desktop	Windows	1	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Somewhat	Somewhat	Somewhat	Somewhat	Strongly Agree	Strongly disagree	No	This information will be kept private.
North America	26-30	13 - 17	Male	Employed (full time)	Yes	Master's degree	Very important	Very important	Very important	Somewhat important	Very important	Very important	Very important	Very important	Somewhat important	Very important	This information will be kept private.	JavaScript, HTML, CSS, TypeScript	JavaScript, HTML, CSS, TypeScript	Rust, Go	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers	Chatterbox	No but I'd like to be	Laptop, Desktop	Mac	2	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	No	This information will be kept private.
Asia	Rather not say	< 13	Male	Student (full time)	Yes	Secondary/high school	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	Java, Python	Python	Go	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Game dev, Artificial Intelligence	Discord server listing website	0-1 years	Chatting with other programmers, Getting help with programming problems	I don't have a role :(	No but I'd like to be	Laptop, Mobile	Windows	2	Less than once per year	To improve my knowledge	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Not sure	Somewhat	Somewhat	Somewhat disagree	No	This information will be kept private.
North America	13-17	< 13	Male	Rather not say	Yes	Rather not say	Somewhat important	Very important	Requirement	Don't care	Somewhat important	Very important	Don't care	Requirement	Don't care	Don't care	This information will be kept private.	JavaScript, HTML, CSS	JavaScript	JavaScript, HTML, CSS, TypeScript	I start a project but quickly lose motivation and usually don't complete a project	Game dev	Discord server discovery	0-1 years	Getting help with programming problems	Active		Laptop	Linux	1	Less than once per month but more than once per year	Other	I would like to contribute to more open source projects								No	This information will be kept private.
Europe	18-21	13 - 17	Male	Rather not say	Yes	Secondary/high school	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	This information will be kept private.	JavaScript, Java, HTML, CSS	Java	JavaScript, C++	Other	Web dev, Mobile dev	Other	3+ years	Helping other programmers, Getting help with programming problems	Bepis-Drinker	No but I'd like to be	Laptop, Desktop	Windows	2	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Strongly disagree	Strongly disagree	Somewhat disagree	Strongly Agree	No	This information will be kept private.
Europe	26-30	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Very important	Don't care	Somewhat important	Don't care	Don't care	Somewhat important	Very important	Requirement	Don't care	Requirement	This information will be kept private.	JavaScript, Java, HTML, CSS, TypeScript, Other	Java	Python, TypeScript	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Mobile dev, Cyber security, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Helping other programmers, Getting help with programming problems, Lurking	Chatterbox	No but I'd like to be	Desktop	Mac	1	Less than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	No	This information will be kept private.
North America	26-30	18 - 21	Male	Employed (full time)	Yes	Bachelor's degree	Requirement	Somewhat important	Very important	Don't care	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Very important	This information will be kept private.	Python, C#, Other	C#	Other	I start a project but quickly lose motivation and usually don't complete a project	Data Science, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Getting help with programming problems, Lurking	I don't have a role :(	No but I'd like to be	Desktop	Windows	2	Less than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No	This information will be kept private.
Europe	18-21	< 13	Male	Self Employed (full time)	Yes	Bachelor's degree	Requirement	Very important	Don't care	Don't care	Very important	Very important	Requirement	Somewhat important	Somewhat important	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, C#, PHP, Kotlin, Rust, TypeScript, Lua, Go, Elixir	JavaScript, Python, C#, TypeScript	Go	I start a project but quickly lose motivation and usually don't complete a project	Web dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	I don't have a role :(	No but I'd like to be	Desktop	Windows	3	Never			I don't feel comfortable with my ability, I don't have the time, I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly disagree	Yes	This information will be kept private.
North America	22-25	13 - 17	Male	Student (full time)	Yes	Bachelor's degree	Somewhat important	Somewhat important	Very important	Don't care	Requirement	Very important	Requirement	Somewhat important	Don't care	Requirement	This information will be kept private.	JavaScript, C++, Python, HTML, Kotlin, Haskell	Python	Haskell	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Artificial Intelligence	Discord server listing website	1-2 years	Helping other programmers, Lurking	Bepis-Drinker	No but I'd like to be	Laptop, Mobile	Linux	2	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
