Where are you from?	How old are you?	What age did you start programming?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home?	Which language(s) would you say you are most proficient in?	What is your favourite language and why?	What is your least favourite language and why?	Which language/framework/tool would you like to learn over the next year?	If you work on personal projects, which of these best describes your approach?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Would you be more likely to contribute to open source projects if TPH offered more contribution opportunities?	What language(s) would you like to see TPH make an open source project in?	Do you have any ideas for projects TPH could start?	Why have you not contributed to open source projects?	Which of our network servers are you a part of?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	What improvements would you like to suggest to the moderation team? (if any)	What spotlight would you like to see next on TPH? (It can be any language/framework/library/tool/technology)	What new channel you would like to see on TPH?	What is your favourite thing about TPH?	What is your least favourite thing about TPH?	Do you have any other comments you'd like to give to the moderation team?
Africa	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Requirement	Very important	Very important	Don't care	Very important	Requirement	Requirement	Very important	Somewhat important	Don't care	This information will be kept private.	JavaScript, C++, HTML, CSS	JavaScript, C++	C++, I'm just used to it	Cobalt. That thing is not a language KEKW	I'd like to learn more about NodeJS and ExpressJS	I need to have some collaborators in order to keep myself motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	Controversy Central	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	NodeJS	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	13 - 17	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Don't care	Very important	This information will be kept private.	C, HTML, CSS	HTML, CSS	So far I like C because it is more of what I assume is a normal language compared to html and css.	CSS is my least favorite that I know, because of how basic it is.	JavaScript	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Still in high school	Requirement	Somewhat important	Don't care	Don't care	Requirement	Requirement	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	Python, C, C#, Rust, Lua, Go	Lua, Go	Go because it's fast and simple. Takes no time to program in. Concurrency is amazing.	JavaScript - speaks for itself	Rocket.rs and C (couldn't choose between the two, sorry)	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	It's usually because said project doesn't have a feature I and many others would like in it. So I take it upon myself to make it.	I would like to contribute to more open source projects	Yes - If it was a language I know	Go, Rust, or C	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	Rocket.rs	Nim would be pretty cool	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Requirement	Very important	Somewhat important	Don't care	Requirement	Requirement	Very important	Somewhat important	Requirement	Don't care	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, Kotlin, TypeScript	JavaScript, Python, TypeScript	Python as it was my first language and it was easy to learn programming concepts.	C++ is really hard	C++ and Kotlin	I start a project but quickly lose motivation and usually don't complete a project	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I don't know how to	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	This information will be kept private.	Kotlin and C++	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	< 13	Employed (full time)	Yes	Trade School	Somewhat important	Very important	Somewhat important	Somewhat important	Requirement	Requirement	Requirement	Requirement	Very important	Very important	This information will be kept private.	JavaScript, Python, C, HTML, CSS, C#, PHP, TypeScript, Go	JavaScript, Python, HTML, CSS, PHP, TypeScript	TypeScript, and i feel like it's hard to explain why. But i just like to write in it.	The Go syntax annoys me.	Laravel	I need to have some collaborators in order to keep myself motivated	Less than once per year	Because i enjoy it.	I would like to contribute to more open source projects	Yes - If it was a language I know	Replace CahcetHQ please	Replacement for Cachet	N/A	Late Gaming	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	Prometheus	Dedicated channel for CSS, SCSS, Less etc...	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Very important	Don't care	Requirement	Requirement	Somewhat important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS	Python	Python, it is simple and you get stuff done fast.	C++. way to much unimportant stuff needed for a simple programm.	Python	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	< 13	Self Employed (full time)	Yes	Bachelor's degree	Don't care	Very important	Somewhat important	Don't care	Don't care	Don't care	Somewhat important	Don't care	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, C#, PHP, TypeScript, Assembly, Go, Elixir	JavaScript, HTML, CSS, PHP, Elixir	Elixir. Whenever I use any other language I find myself longing for some feature elixir has. In larger projects I also find functional programming to be more obvious as in it's much easier to understand what's actually going on in an application when using functional programming.	I don't dislike any language in particular.	Don't know yet	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	Collaboration, Learning, Giving back to the community	I would like to contribute to more open source projects	Yes - If it was a language I know	Elixir	Mentoring / knowledge sharing / language or framework learning	N/A	None - I'm only in The Programmer's Hangout	Not sure	Not sure	Somewhat	Not sure	Not sure	Not sure	This information will be kept private.	https://www.meilisearch.com/ <-- Fantastic. I think you're doing a great job on the suggestions so far though :)	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	26-30	26+	Student (full time)	Yes	Bachelor's degree	Somewhat important	Very important	Don't care	Don't care	Somewhat important	Very important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, PHP	JavaScript, HTML, CSS	JavaScript. It's the only one I know really well.	N/A	TypeScript, Next.js	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	22-25	13 - 17	Employed (full time)	No	Bachelor's degree	Requirement	Very important	Very important	Don't care	Requirement	Requirement	Requirement	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, TypeScript, Haskell, Lua, Assembly	JavaScript, Java, Python, HTML, CSS, C#	Haskell, because it's forced me to re-think how I approach development.	SQL. The language has terrible UX and I can't count how many times I've written a clean and nicely broken out query only to have to mash it all back together into a duplicated and terrible mess just for the sake of performance.	Scala	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	To improve things I use and things others use.	I'm happy with my current level of open source contribution	No	N/A	N/A	N/A	Controversy Central, Late Gaming	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Somewhat	Strongly Agree	This information will be kept private.	Kafka	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	26-30	26+	Student (full time)	No	Audio Production Diploma	Requirement	Somewhat important	Somewhat important	Don't care	Very important	Very important	Very important	Very important	Don't care	Very important	This information will be kept private.	Java, HTML	Java	Java because it's what I know the most currently.	N/A	JavaScript	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly disagree	This information will be kept private.	Java	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
South America	22-25	18 - 21	Employed (full time)	Yes	Bachelor's degree	Very important	Don't care	Don't care	Don't care	Don't care	Very important	Requirement	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, Rust, Assembly	C++	Python, it was my first language.	Assembly, because... well it's Asm.	Ghidra.	I start a project but quickly lose motivation and usually don't complete a project	A least once per month	Because I believe strongly in the FOSS philosophy	I would like to only contribute to open source projects	Yes - If it was a language I know	Any, FOSS 4 Layf	N/A	N/A	Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	This information will be kept private.	C++ 🙂	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Very important	Very important	Somewhat important	Requirement	Very important	Requirement	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Java, HTML, CSS	Java	Java. Java is my first language. Although it's a bit verbose, i really like how Java implements OOP. I also like how Java is significantly scalable and easy to scale due to JVM.	If this is considered a language then CSS. I really hate CSS due to its "confusingness".	I would like to learn ASP.NET	I commit to a project until I reach a defined end goal before moving on to the next	Several times per week	Because I like to learn	I would like to contribute to more open source projects	Yes	Obviously Java but it would be better if it's on another language so i can learn other languages too.	None so far. Maybe like a chat application or something I don't really know	N/A	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Spring framework	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	22-25	18 - 21	Employed (full time)	No	Associate degree	Very important	Very important	Don't care	Somewhat important	Somewhat important	Somewhat important	Requirement	Somewhat important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS	Python, HTML	Python - it has too many user friendly features and being able to focus more on my understanding rather than the syntax makes a big difference in the time spent to learn concepts.	Java - the syntax feels outdated and inefficient especially while learning	C++ - I have worked with it a little and thats a language that feels like a good balance between syntax challenge and concept challenge.	I start a project but quickly lose motivation and usually don't complete a project	Never	N/A	N/A	N/A	N/A	N/A	I haven't looked into any	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	< 13	Employed (part time)	Yes	Secondary/high school	Very important	Somewhat important	Very important	Somewhat important	Requirement	Very important	Requirement	Very important	Very important	Very important	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, TypeScript, Assembly	JavaScript, TypeScript	TypeScript, I have profeciency in JavaScript + static types and IDE errors before you even try to run your code	CSS, I can never make my cards look right	RGBDS for programming Game Boy games in Assembly	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	18-21	13 - 17	Employed (part time)	Yes	College/University study without earning a degree	Very important	Somewhat important	Very important	Don't care	Somewhat important	Requirement	Requirement	Very important	Don't care	Very important	This information will be kept private.	Java, Python, HTML, CSS, Kotlin, Haskell	Java, Kotlin	Kotlin, simple and easy to use and get familiar with especially that I come from Java	JS, no because I hate it just dynamic languages in general cause I need someone to shout at me when Im doing something wrong	Haskell, Android, web development (JS/ web design/ PHP	I commit to a project until I reach a defined end goal before moving on to the next	Several times per week	It horns my skills and allows me to improve and learn from other contributors	I would like to contribute to more open source projects	Yes	Haskell - I wanna learn it	N/A	N/A	DiscordKt, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Never completed any formal education	Very important	Very important	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, C#, Kotlin, Rust, TypeScript, Haskell, Lisp, Go, Ruby, Elixir	JavaScript, Java, Python, HTML, CSS, Rust, Haskell	Rust because it's low-level but has a great type system	PHP because jank	Lisp	I start a project but quickly lose motivation and usually don't complete a project	Less than once per year	When I need something out of something I use	I would like to contribute to more open source projects	Yes - If it was a language I know	Haskell, Rust, ML, Lisp	A programming language compiler	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	This information will be kept private.	Racket	OCaml	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Requirement	Somewhat important	Don't care	Don't care	Very important	Requirement	Somewhat important	Don't care	Don't care	Don't care	This information will be kept private.	JavaScript, Python, HTML, CSS, C#	JavaScript, HTML, CSS	My favorite language is Javascript because it is the one I know best and it is cross-platform.	I do not have a least favorite language.	I would like to learn low-level languages such as C++.	I start a project but quickly lose motivation and usually don't complete a project	Less than once per year	Various reasons.	I would like to contribute to more open source projects	Yes	JavaScript	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	< 13	Student (full time)	Yes	Secondary/high school	Requirement	Somewhat important	Very important	Somewhat important	Very important	Somewhat important	Requirement	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, C, HTML, CSS, C#, Lua	C++, Lua	C++. I enjoy it's eloquent and logical flow and easy-to-denominate structure, and enjoy how low level it can be, whilst making quick&sloppy projects very accessible as well.	HTML(incl. CSS) due to its markup-format and relatively little control over what you are *actually* doing, as well as being forced to use a backend language(or at the least create a server) to get a website or HTML page displaying properly so you can share your results beyond localhost.	I am definitely interested in learning more about C++ rendering, Vulkan particularly.	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	I often don't but every once and awhile I see a glaring vulnerability or piece of very un-optimized code, and feel the need to fix it.	I would like to contribute to more open source projects	Yes - If it was a language I know	C++|C#|Lua	Perhaps you could make a TPH brand app engine? People from all areas of expertise could contribute and I think it'd be good fun for all.	N/A	The Pentester's Hangout	Strongly Agree	Strongly Agree	Not sure	Not sure	Strongly Agree	Somewhat	This information will be kept private.	SDL2!	Graphics programming(in general, not to a specific language).	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Requirement	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, TypeScript, Lua, Assembly, Lisp, Go	JavaScript, Java, Python, HTML, CSS, C#, TypeScript	Java because it has a lot of libraries and i'm comfortable with it.	Javascript / Typescript because of the lack of some features and some bad language design.	Rust	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	I know that i'm probably helping someone and i feel that part of the project was done by me.	I would like to contribute to more open source projects	Yes - If it was a language I know	Any	N/A	N/A	None - I'm only in The Programmer's Hangout	Not sure	Not sure	Not sure	Not sure	Not sure	Somewhat disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Oceania	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Don't care	Requirement	Don't care	Don't care	Don't care	Requirement	Don't care	Somewhat important	Requirement	Requirement	This information will be kept private.	JavaScript, Python, HTML, CSS, TypeScript	JavaScript, Python, HTML, TypeScript	TypeScript since it's JavaScript (the primary language of the web) but with static typing (better linting, better autocomplete, quality of life improvements)	N/A	Making an OAuth2 Client with express.js	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	It may seem kinda selfish, but I only create issues with bug reports because my projects depend on them lol	I'm happy with my current level of open source contribution	No	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	A dedicated channel for ReactJS since it's really popular	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	13-17	13 - 17	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Somewhat important	Don't care	Very important	Very important	Somewhat important	Requirement	Don't care	Very important	This information will be kept private.	Java, Python, Rust	Python	Rust, it requires me to put more thought and effort behind what I'm making, which makes the end result more satisfying to see working.	Python, not very interesting to write,  might as well be writing a bash script	Continue rust	I commit to a project until I reach a defined end goal before moving on to the next	A least once per month	I only help projects I personally use, so I'd like those tools to be the best they can.	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Not sure	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Employed (full time)	Yes	College/University study without earning a degree	Somewhat important	Very important	Somewhat important	Very important	Requirement	Requirement	Requirement	Somewhat important	Somewhat important	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, C#, PHP, TypeScript	JavaScript, HTML, CSS, PHP	JavaScript for it's synchronous nature, the widespread use cases and not having to write type-safe code can be a relief sometimes.	Python because I have to pay attention to my indents and I miss writing multiple lines of code in a single line and using brackets	Tbh I haven't really gotten into Docker that well and would love to properly understand how to use it	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I can't find any projects that interest me	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	This information will be kept private.	Docker? 👀😂 Maybe also Kubernetes. I always thought it was a paid hosting service but recently figured out that it is an open source containerization tool for scalable deployment? Not quite sure bcz I don't fully understand containeriztation yet (I can download a Dockerfile and run it, but I am missing the understanding on how to configure it, how to create my own one, what the differences are between docker-compose and docker run and stuff like that).	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	13 - 17	Employed (part time)	Yes	Secondary/high school	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Requirement	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, TypeScript, Swift	JavaScript, Java, HTML, CSS, TypeScript	Java for its flexibility and maturity. And unlike Javascript, the guides don't contain bad practices and code as often	Javascript in frameworks like React, due to the bad documentation and support, and the (subjectively awful) approach to project management and size (come on, 400mb+ basic react app??)	I would like to expand my knowledge of NX monorepo and angular, which I am currently learning and using at work	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per month but more than once per year	It helps to progress projects I like to use, and always gives me a nice feeling when my changes get approved	I'm happy with my current level of open source contribution	Yes - If it was a language I know	Java	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Rather not say	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Very important	Somewhat important	Somewhat important	Very important	Very important	Very important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, My Own Tron Language	JavaScript, Python, HTML	Python.  It is innovative.	All are my favourites.	The Linux Superuser	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	Just cause it irritates me having bugs.	I would like to contribute to more open source projects	Yes - If it was a language I know	JS and Java	A new language.	N/A	The Pentester's Hangout	Not sure	Not sure	Somewhat disagree	Strongly disagree	Strongly disagree	Not sure	This information will be kept private.	mpiexec - utilise multi processing power	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Don't care	Don't care	Don't care	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, TypeScript	JavaScript	JavaScript as of now because thats what im most familiar with.	Python absolutely hate the lack of brackets, i feel like it makes code harder to read.	TypeScript	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I don't have the time	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	31-40	26+	Student (full time)	Yes	College/University study without earning a degree	Very important	Somewhat important	Somewhat important	Don't care	Don't care	Somewhat important	Very important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, Lisp, Ruby	JavaScript, Java, HTML, CSS	Java because its the one i understand the most and practiced the most	Lisp because it seems too complicated for what it should do	Vue, flask, spring, laravelle	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	The Pentester's Hangout	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	26-30	13 - 17	Employed (full time)	Yes	Bachelor's degree	Requirement	Very important	Requirement	Don't care	Don't care	Very important	Somewhat important	Requirement	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, C, C#, Kotlin, Rust, Lua, Go, Ruby, Elixir	JavaScript, Java, Python, C, C#, Kotlin, Go, Elixir	Elixir. It solves so many problems you wish you didn't have to deal with. Elixir always feels fun to write, expressive and good for most problems I need to solve	PHP. Its a security minefield, its dangerous, inefficient and should not be used.	HTML / CSS	I start a project but quickly lose motivation and usually don't complete a project	Less than once per year	Solving problems	I would like to contribute to more open source projects	Yes	Elixir	N/A	N/A	The Pentester's Hangout	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Strongly Agree	This information will be kept private.	Web assembly	Wasm	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	18-21	< 13	Student (full time)	Yes	Secondary/high school	Requirement	Don't care	Don't care	Don't care	Requirement	Somewhat important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, HTML, CSS, C#, Kotlin, Rust, TypeScript, Haskell, Go, Elixir, Nix	Java, Kotlin, Go, Nix	Kotlin, it combines both imperative and functional programming into one, with the JVM or without it, it takes Java to another level, and the interop is nice.	Rust, the tooling is really hard to get working for my experience.	More on the functional programming side (Haskell, Elixir, Nix, etc.)	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	It is usually because of a feature that I lack, or bugs that I encounter in a daily basis that I need fixed as soon as possible.	I'm happy with my current level of open source contribution	Yes - If it was a language I know	Rust and TypeScript	A documentation bot using Soup to parse locally available websites.	N/A	DiscordKt, Late Gaming	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Nix	#zig	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	26-30	13 - 17	Employed (full time)	Yes	Bachelor's degree	Requirement	Somewhat important	Somewhat important	Don't care	Don't care	Don't care	Don't care	Very important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, TypeScript, Assembly	JavaScript	Javascript after ES6 era becames less frustrating to deal with. It's relatively expressive and very accessible, nowadays I can use it for plenty of things thanks to node and npm.	C/C++ but that's more due to build setups, I hate setting up libraries and I still have no idea of 'make'. Hot reloading is pain in the ass if required.	N/A	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	Because I need to solve the problem no one cares about but I do	I'm happy with my current level of open source contribution	No	Javascript	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	This information will be kept private.	ffmpeg	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	13 - 17	Student (full time)	Yes	Master's degree	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	Very important	Somewhat important	Requirement	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, OCaml (they love teaching OCaml in France)	C++, Python	C++ because I love putting a lot of effort trying to make my code perfect (scalable, adaptable, efficient, etc) and I feel like C++ is one of the best language for that.	Java because it traded a lot of things to make coding "easier".	Vulkan API	I start a project but quickly lose motivation and usually don't complete a project	A least once per month	Open-source is great, I love sharing / contributing	I would like to contribute to more open source projects	Yes - If it was a language I know	C++	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Docker	Continuous Integration Systems (Travis / Jenkins / Appveyor / etc)	This information will be kept private.	This information will be kept private.	This information will be kept private.
